[51 33 31 17 44 20  3 30 18  5 23 42  8 36 12 29 16  7  2  9 24  6 13 37
 32  0 19 47 14 25 38 10 43 11  1  4 22 26 39 15 48 54 40 27 21 34 45 56
 52 46 49 35 53 41 55 28 50 57 58]
ranking done 
1 0.6860429912201029
3 0.8683015440508629
5 0.8891916439600364
7 0.8928247048138056
9 0.9009990917347865
11 0.9002422040569179
13 0.904026642446261
15 0.9058431728731456
17 0.9123524069028156
19 0.9106872540115047
21 0.9094762337269149
23 0.9117468967605208
25 0.9144716924008477
27 0.91537995761429
29 0.9129579170451105
31 0.9173478655767484
