[ 0 18 31 29 17  7 16  2 12  3 30  9 42  8 23  5 36 24 13  6 37 25 38 32
 19 14 43 10 47 11  1  4 22 20 33 51 44 26 39 15 48 54 40 27 21 34 45 56
 52 46 49 35 53 41 55 28 50 57 58]
ranking done 
1 0.8345443536179231
3 0.8826824099303663
5 0.8973660308810173
7 0.9002422040569179
9 0.9059945504087193
11 0.9031183772328186
13 0.9100817438692098
15 0.9094762337269149
17 0.9149258250075689
19 0.9134120496518316
21 0.9138661822585529
23 0.9131092945806842
25 0.9155313351498637
27 0.9221919467151075
29 0.9128065395095368
31 0.9129579170451105
33 0.9178019981834695
35 0.9131092945806842
37 0.9122010293672419
39 0.91537995761429
41 0.9146230699364214
