[ 85 144  69  10 143  50  57  73  66  62  27  72  79  12  20  89 125 148
  67  68 132 147 141  88  51  71  13 136  21  86   8   6  74  95  83   3
 126 135  47  81  48 146  96 142 102  78  32  45 137  39  61  60   4 123
   5  11   2  31  82  58  77   7  49  43 124  75 122  76  38  25  14  37
 133 107 113  46  87  65  34  42  36  23   1  35 106  53 140 118 112 109
 117 121  24   9  97  26  80 145  22  70 114 130  52  55  59 128  98  28
  40  90 103 100 116  30   0  54 101  84  41 129 120 111 115  99  15 134
  16  29  44 110  91  17  92 108  33 104 119 127 105 131  64  63  56 138
 139  18  19  94  93 149]
ranking done 
5 0.5916666666666667
10 0.7733333333333333
15 0.8533333333333334
20 0.8533333333333334
25 0.8833333333333333
30 0.86
35 0.8866666666666667
40 0.8983333333333333
45 0.8933333333333333
50 0.9033333333333333
55 0.8983333333333333
60 0.9283333333333333
65 0.925
70 0.9266666666666666
75 0.925
80 0.9383333333333334
85 0.9316666666666666
90 0.9366666666666666
95 0.9383333333333334
100 0.9416666666666667
105 0.9483333333333334
110 0.9466666666666667
115 0.95
120 0.9383333333333334
125 0.9383333333333334
130 0.9483333333333334
135 0.945
140 0.9416666666666667
145 0.94
