[21 23 20 22 17 19 18 16 59 57 56 58 49 51 50 48  2  1  0  3 77 79 31 29
 30 76 72 28 55 52 54 53 74 78 73 75  8 12 13  9 11 15 14 10 68 69 71 70
 34 60 35 32 33 62 63 61 41 43 37 39 40 36 44 46 45 42 47 38 81 83 65  5
 67  7 80  4 64 82  6 66 84 24 25 27 85 26 86 87]
ranking done 
5 0.7264944427756083
10 0.7819164914388705
15 0.8039951937518774
20 0.8053469510363472
25 0.8400420546710724
30 0.8475518173625713
35 0.8564133373385401
40 0.8567137278462
45 0.8618203664764194
50 0.8729348152598377
55 0.8705316911985581
60 0.8750375488134575
65 0.8729348152598377
70 0.8697807149294082
75 0.8756383298287774
80 0.8762391108440973
85 0.8735355962751578
